0,"kit fox, Vulpes macrotis"
1,English setter
2,Australian terrier
3,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
4,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
5,Egyptian cat
6,"ibex, Capra ibex"
7,Persian cat
8,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
9,gazelle
10,"porcupine, hedgehog"
11,sea lion
12,badger
13,Great Dane
14,"Scottish deerhound, deerhound"
15,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
16,mink
17,"African elephant, Loxodonta africana"
18,"red wolf, maned wolf, Canis rufus, Canis niger"
19,"jaguar, panther, Panthera onca, Felis onca"
20,"hyena, hyaena"
21,"titi, titi monkey"
22,"three-toed sloth, ai, Bradypus tridactylus"
23,sorrel
24,"black-footed ferret, ferret, Mustela nigripes"
25,"dalmatian, coach dog, carriage dog"
26,"Staffordshire bullterrier, Staffordshire bull terrier"
27,"Bouvier des Flandres, Bouviers des Flandres"
28,weasel
29,miniature poodle
30,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
31,"fox squirrel, eastern fox squirrel, Sciurus niger"
32,"colobus, colobus monkey"
33,tiger cat
34,"impala, Aepyceros melampus"
35,"coyote, prairie wolf, brush wolf, Canis latrans"
36,Yorkshire terrier
37,"Newfoundland, Newfoundland dog"
38,"red fox, Vulpes vulpes"
39,hartebeest
40,"grey fox, gray fox, Urocyon cinereoargenteus"
41,"Pekinese, Pekingese, Peke"
42,"guenon, guenon monkey"
43,mongoose
44,"indri, indris, Indri indri, Indri brevicaudatus"
45,"tiger, Panthera tigris"
46,"wild boar, boar, Sus scrofa"
47,zebra
48,"ram, tup"
49,"orangutan, orang, orangutang, Pongo pygmaeus"
50,basenji
51,"leopard, Panthera pardus"
52,"vizsla, Hungarian pointer"
53,"squirrel monkey, Saimiri sciureus"
54,"Siamese cat, Siamese"
55,"chimpanzee, chimp, Pan troglodytes"
56,komondor
57,"proboscis monkey, Nasalis larvatus"
58,"guinea pig, Cavia cobaya"
59,"white wolf, Arctic wolf, Canis lupus tundrarum"
60,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
61,"gorilla, Gorilla gorilla"
62,ox
63,Tibetan mastiff
64,"spider monkey, Ateles geoffroyi"
65,"Doberman, Doberman pinscher"
66,warthog
67,"Arabian camel, dromedary, Camelus dromedarius"
68,"siamang, Hylobates syndactylus, Symphalangus syndactylus"
69,golden retriever
70,Border collie
71,hare
72,boxer
73,"patas, hussar monkey, Erythrocebus patas"
74,baboon
75,macaque
76,"capuchin, ringtail, Cebus capucinus"
77,flat-coated retriever
78,"hog, pig, grunter, squealer, Sus scrofa"
79,"Eskimo dog, husky"
80,Brittany spaniel
81,"dial telephone, dial phone"
82,"maze, labyrinth"
83,Gordon setter
84,"dingo, warrigal, warragal, Canis dingo"
85,hamster
86,"Arctic fox, white fox, Alopex lagopus"
87,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
88,"American black bear, black bear, Ursus americanus, Euarctos americanus"
89,"Angora, Angora rabbit"
90,bison
91,"howler monkey, howler"
92,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
93,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
94,"tabby, tabby cat"
95,marmoset
96,"Saint Bernard, St Bernard"
97,armadillo
98,redbone
99,"polecat, fitch, foulmart, foumart, Mustela putorius"
100,marmot
101,"gibbon, Hylobates lar"
102,llama
103,"wood rabbit, cottontail, cottontail rabbit"
104,"lion, king of beasts, Panthera leo"
105,"Irish setter, red setter"
106,"dugong, Dugong dugon"
107,"Indian elephant, Elephas maximus"
108,beaver
109,"Madagascar cat, ring-tailed lemur, Lemur catta"
110,Rhodesian ridgeback
111,"lynx, catamount"
112,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
113,langur
114,"timber wolf, grey wolf, gray wolf, Canis lupus"
115,"cheetah, chetah, Acinonyx jubatus"
116,"sloth bear, Melursus ursinus, Ursus ursinus"
117,"German shepherd, German shepherd dog, German police dog, alsatian"
118,otter
119,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
120,tusker
121,"echidna, spiny anteater, anteater"
122,"wallaby, brush kangaroo"
123,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
124,wombat
125,"revolver, six-gun, six-shooter"
126,umbrella
127,schooner
128,soccer ball
129,"accordion, piano accordion, squeeze box"
130,"ant, emmet, pismire"
131,"starfish, sea star"
132,"chambered nautilus, pearly nautilus, nautilus"
133,"grand piano, grand"
134,"laptop, laptop computer"
135,strawberry
136,airliner
137,"warplane, military plane"
138,"airship, dirigible"
139,balloon
140,space shuttle
141,fireboat
142,gondola
143,speedboat
144,lifeboat
145,canoe
146,yawl
147,catamaran
148,trimaran
149,"container ship, containership, container vessel"
150,"liner, ocean liner"
151,"pirate, pirate ship"
152,"aircraft carrier, carrier, flattop, attack aircraft carrier"
153,"submarine, pigboat, sub, U-boat"
154,wreck
155,half track
156,"tank, army tank, armored combat vehicle, armoured combat vehicle"
157,missile
158,"bobsled, bobsleigh, bob"
159,"dogsled, dog sled, dog sleigh"
160,"bicycle-built-for-two, tandem bicycle, tandem"
161,"mountain bike, all-terrain bike, off-roader"
162,freight car
163,"passenger car, coach, carriage"
164,"barrow, garden cart, lawn cart, wheelbarrow"
165,shopping cart
166,"motor scooter, scooter"
167,forklift
168,electric locomotive
169,steam locomotive
170,"amphibian, amphibious vehicle"
171,ambulance
172,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
173,"cab, hack, taxi, taxicab"
174,convertible
175,"jeep, landrover"
176,"limousine, limo"
177,minivan
178,Model T
179,"racer, race car, racing car"
180,"sports car, sport car"
181,go-kart
182,"golfcart, golf cart"
183,moped
184,"snowplow, snowplough"
185,"fire engine, fire truck"
186,"garbage truck, dustcart"
187,"pickup, pickup truck"
188,"tow truck, tow car, wrecker"
189,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
190,moving van
191,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
192,"recreational vehicle, RV, R.V."
193,"streetcar, tram, tramcar, trolley, trolley car"
194,snowmobile
195,tractor
196,"mobile home, manufactured home"
197,"tricycle, trike, velocipede"
198,"unicycle, monocycle"
199,"horse cart, horse-cart"
200,mosquito net
201,oxcart
202,bassinet
203,cradle
204,"crib, cot"
205,four-poster
206,bookcase
207,"china cabinet, china closet"
208,"medicine chest, medicine cabinet"
209,"chiffonier, commode"
210,table lamp
211,"file, file cabinet, filing cabinet"
212,"pay-phone, pay-station"
213,park bench
214,barber chair
215,throne
216,folding chair
217,"rocking chair, rocker"
218,"studio couch, day bed"
219,toilet seat
220,desk
221,"pool table, billiard table, snooker table"
222,"dining table, board"
223,entertainment center
224,"wardrobe, closet, press"
225,Granny Smith
226,orange
227,lemon
228,fig
229,"pineapple, ananas"
230,banana
231,"jackfruit, jak, jack"
232,custard apple
233,pomegranate
234,acorn
235,"hip, rose hip, rosehip"
236,"ear, spike, capitulum"
237,rapeseed
238,corn
239,"buckeye, horse chestnut, conker"
240,"organ, pipe organ"
241,"upright, upright piano"
242,"chime, bell, gong"
243,"drum, membranophone, tympan"
244,"gong, tam-tam"
245,maraca
246,"marimba, xylophone"
247,steel drum
248,banjo
249,"cello, violoncello"
250,"lampshade, lamp shade"
251,harp
252,acoustic guitar
253,electric guitar
254,"cornet, horn, trumpet, trump"
255,"French horn, horn"
256,trombone
257,"harmonica, mouth organ, harp, mouth harp"
258,"ocarina, sweet potato"
259,"panpipe, pandean pipe, syrinx"
260,bassoon
261,"sax, saxophone"
262,"flute, transverse flute"
263,daisy
264,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
265,"cliff, drop, drop-off"
266,"valley, vale"
267,alp
268,volcano
269,"promontory, headland, head, foreland"
270,"sandbar, sand bar"
271,coral reef
272,"lakeside, lakeshore"
273,"seashore, coast, seacoast, sea-coast"
274,geyser
275,hatchet
276,"cleaver, meat cleaver, chopper"
277,"letter opener, paper knife, paperknife"
278,"plane, carpenter's plane, woodworking plane"
279,power drill
280,"lawn mower, mower"
281,hammer
282,"corkscrew, bottle screw"
283,"can opener, tin opener"
284,"plunger, plumber's helper"
285,screwdriver
286,shovel
287,"plow, plough"
288,"chain saw, chainsaw"
289,cock
290,hen
291,"ostrich, Struthio camelus"
292,"brambling, Fringilla montifringilla"
293,"goldfinch, Carduelis carduelis"
294,"house finch, linnet, Carpodacus mexicanus"
295,"junco, snowbird"
296,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
297,"robin, American robin, Turdus migratorius"
298,bulbul
299,jay
300,magpie
301,chickadee
302,"water ouzel, dipper"
303,kite
304,"bald eagle, American eagle, Haliaeetus leucocephalus"
305,vulture
306,"great grey owl, great gray owl, Strix nebulosa"
307,black grouse
308,ptarmigan
309,"ruffed grouse, partridge, Bonasa umbellus"
